time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1732723200,96433.25,95268.44,95647.68,4041.52,387426045.07,95779.95,direct,
1732726800,96399.41,95393.02,95779.95,2965.39,284416316.32,96356.87,direct,
1732730400,96648.73,96132.64,96356.87,2863.73,275998134.96,96226.04,direct,
1732734000,96774.5,96019.07,96226.04,2327.99,224423321.65,96771.65,direct,
1732737600,97373.56,96450.17,96771.65,5118.79,496215126.75,96622.66,direct,
1732741200,96732.47,96201.24,96622.66,2705.44,260959747.71,96409.7,direct,
1732744800,96642.14,96148.89,96409.7,1064.22,102561425.45,96158.88,direct,
1732748400,96283.83,95844.59,96158.88,1593.21,152988025.17,95957.51,direct,
1732752000,96672.28,95829.12,95957.51,1361.11,130849175.85,96655.13,direct,
1732755600,96655.13,96189.6,96655.13,1086.02,104622394.73,96376.0,direct,
1732759200,96542.21,95717.8,96376.0,1129.26,108664563.34,95786.11,direct,
1732762800,95872.17,94916.17,95786.11,1820.97,173662600.86,95563.92,direct,
1732766400,95904.84,95431.32,95563.92,486.72,46579161.68,95822.36,direct,
1732770000,95992.35,95437.82,95822.36,403.19,38592635.19,95529.41,direct,
1732773600,95752.47,95151.25,95529.41,616.0,58804017.92,95542.81,direct,
1732777200,95812.9,95281.85,95542.81,417.16,39866200.64,95365.25,direct,
1732780800,95663.19,95151.17,95365.25,521.81,49787726.09,95487.71,direct,
1732784400,95548.73,94991.53,95487.71,514.38,49007630.4,95018.47,direct,
1732788000,95184.24,94677.17,95018.47,835.18,79273868.8,95003.78,direct,
1732791600,95820.01,94816.83,95003.78,868.04,82690471.4,95487.3,direct,
1732795200,95694.45,95246.05,95487.3,1099.97,105011275.96,95524.18,direct,
1732798800,95810.55,95071.95,95524.18,1325.44,126439871.56,95756.35,direct,
1732802400,96249.56,95409.52,95756.35,2082.59,199455795.95,95418.21,direct,
1732806000,95537.48,94923.36,95418.21,2146.05,204383076.17,95026.46,direct,
1732809600,95325.13,94849.33,95026.46,1324.38,125986862.14,94995.64,direct,
1732813200,95263.7,94852.08,94995.64,1020.02,96970207.04,94889.02,direct,
1732816800,95337.96,94879.14,94889.02,756.11,71944367.26,95312.81,direct,
1732820400,95449.56,95048.85,95312.81,656.45,62490630.79,95131.47,direct,
1732824000,95144.84,94712.94,95131.47,958.17,90931446.5,94830.21,direct,
1732827600,95193.55,94819.05,94830.21,761.78,72405253.3,95138.34,direct,
1732831200,95669.46,95040.3,95138.34,718.22,68524981.73,95669.46,direct,
1732834800,96045.18,95545.44,95669.46,1305.47,124995284.38,95670.41,direct,
1732838400,95851.32,95391.39,95670.41,1291.63,123516744.86,95503.3,direct,
1732842000,95991.09,95435.77,95503.3,1023.71,97964294.17,95938.33,direct,
1732845600,96887.41,95934.71,95938.33,1948.92,188047157.42,96779.04,direct,
1732849200,96838.19,96461.7,96779.04,770.81,74505469.56,96610.08,direct,
1732852800,96651.9,96265.28,96610.08,410.3,39553686.4,96292.0,direct,
1732856400,96549.07,96192.43,96292.0,290.29,27982622.53,96201.89,direct,
1732860000,96403.97,96036.98,96201.89,395.6,38062599.72,96280.3,direct,
1732863600,96428.87,95622.57,96280.3,580.27,55689830.75,95643.73,direct,
1732867200,96015.03,95641.09,95643.73,590.67,56604778.05,95993.12,direct,
1732870800,96489.11,95894.47,95993.12,528.12,50815636.49,96384.49,direct,
1732874400,96889.24,96324.29,96384.49,742.68,71791018.68,96889.2,direct,
1732878000,97409.81,96585.27,96889.2,1045.24,101408991.81,97293.9,direct,
1732881600,97548.57,96936.18,97293.9,1848.59,179770802.86,96967.84,direct,
1732885200,97294.85,96803.8,96967.84,1274.94,123661391.35,97257.93,direct,
1732888800,98144.2,96957.46,97257.93,3930.73,383689831.74,98098.92,direct,
1732892400,98735.69,97807.17,98098.92,7010.46,689368607.96,98151.39,direct,
1732896000,98590.06,97850.08,98151.39,4336.29,425872498.01,97928.9,direct,
1732899600,97960.35,97029.23,97928.9,4073.28,396475828.32,97064.49,direct,
1732903200,97458.69,96944.92,97064.49,2105.28,204732896.89,97276.77,direct,
1732906800,97536.65,96981.38,97276.77,1494.7,145452898.85,97438.48,direct,
1732910400,97719.58,97303.0,97438.48,1656.33,161468774.46,97416.26,direct,
1732914000,97532.23,97087.7,97416.26,981.91,95573503.97,97469.68,direct,
1732917600,97563.86,97311.99,97469.68,706.15,68813182.05,97375.25,direct,
1732921200,97530.42,97175.21,97375.25,847.92,82543902.68,97510.92,direct,
